"lakeid","sampledate","depth","chlor"
"TB","2008-08-13",0,6.4
"TB","2008-08-26",0,5.9
"TB","2008-09-11",0,11
"TB","2008-09-23",0,75.6
"TB","2008-09-23",0,379.6
"TB","2008-10-06",0,74.6
"TB","2008-10-06",0,73.4
"TB","2008-10-21",0,9.7
"TB","2008-11-11",0,7
"TB","2009-01-22",0,98.6
"TB","2009-02-17",0,5.9
"TB","2009-02-17",0,6.3
"TB","2009-03-25",0,13.3
"TB","2009-04-28",0,145.2
"TB","2009-05-14",0,106.3
"TB","2009-05-29",0,5.8
"TB","2009-05-29",0,8.1
"TB","2009-06-09",0,6.3
"TB","2009-06-22",0,7.4
"TB","2009-07-06",0,19
"TB","2009-07-06",0,3.7
"TB","2009-07-21",0,12.4
"TB","2009-07-21",0,9.1
"TB","2009-08-05",0,1.9
"TB","2009-08-17",0,4.1
"TB","2009-08-17",0,5.4
"TB","2009-09-02",0,21.4
"TB","2009-09-15",0,5.3
"TB","2009-09-28",0,7.1
"TB","2009-09-28",0,6.8
"TB","2009-10-12",0,22.5
"TB","2009-10-27",0,25.2
"TB","2009-11-16",0,10.1
"TB","2010-01-14",0,1.8
"TB","2010-02-22",0,1.5
"TB","2010-04-13",0,12.1
"TB","2010-04-26",0,4.9
"TB","2010-05-11",0,10
"TB","2010-05-25",0,8.8
"TB","2010-06-10",0,5.1
"TB","2010-06-23",0,10.4
"TB","2010-06-23",0,5.9
"TB","2010-07-07",0,2.7
"TB","2010-07-22",0,2
"TB","2010-08-03",0,9.9
"TB","2010-08-16",0,6.5
"TB","2010-09-01",0,9.1
"TB","2010-09-14",0,26.1
"TB","2010-09-28",0,3.6
"TB","2010-10-11",0,1.8
"TB","2010-10-26",0,3.1
"TB","2010-11-15",0,2
"TB","2011-01-24",0,2.3
"TB","2011-02-15",0,1.6
"TB","2011-03-16",0,6.6
"TB","2011-05-03",0,23.6
"TB","2011-05-18",0,10.7
"TB","2011-06-01",0,6.1
"TB","2011-06-14",0,5.2
"TB","2011-06-27",0,8.1
"TB","2011-06-27",0,40.8
"TB","2011-07-13",0,4.2
"TB","2011-07-25",0,6.1
"TB","2011-08-09",0,6.3
"TB","2011-08-09",0,6.4
"TB","2011-08-23",0,20.9
"TB","2011-09-09",0,54.6
"TB","2011-09-20",0,43.7
"TB","2011-10-03",0,48.9
"TB","2011-10-18",0,43.7
"TB","2011-11-01",0,51.7
"TB","2011-11-11",0,20.1
"TB","2012-01-10",0,3.1
"TB","2012-02-20",0,32.5
"TB","2012-04-02",0,34
