lakeid,sampledate,depth,chlor
TB,1986-03-31,3.00,0.8
TB,1986-03-31,3.00,0.4
TB,1986-03-31,6.00,0.4
TB,1986-03-31,7.00,4.9
TB,1986-04-21,0.00,12.3
TB,1986-04-21,2.00,2.6
TB,1986-04-21,2.00,3.3
TB,1986-04-21,3.00,2.5
TB,1986-04-21,5.00,2.2
TB,1986-04-21,7.00,0.7
TB,1986-05-06,0.00,8.5
TB,1986-05-06,0.00,7.4
TB,1986-05-06,2.00,11.2
TB,1986-05-06,3.00,3.0
TB,1986-05-06,5.00,6.7
TB,1986-05-06,7.00,1.5
TB,1986-05-21,0.00,2.8
TB,1986-05-21,2.00,10.5
TB,1986-05-21,3.00,2.3
TB,1986-05-21,3.00,2.7
TB,1986-05-21,5.00,1.3
TB,1986-05-21,7.00,1.1
TB,1986-06-03,0.00,2.7
TB,1986-06-03,2.00,64.0
TB,1986-06-03,3.00,3.0
TB,1986-06-03,5.00,1.6
TB,1986-06-03,7.00,0.8
TB,1986-06-03,7.00,1.2
TB,1986-06-16,0.00,12.1
TB,1986-06-16,2.00,16.0
TB,1986-06-16,3.00,6.8
TB,1986-06-16,5.00,2.8
TB,1986-06-16,5.00,2.6
TB,1986-06-16,7.00,1.9
TB,1986-07-01,0.00,2.6
TB,1986-07-01,2.00,17.2
TB,1986-07-01,3.00,4.8
TB,1986-07-01,5.00,2.0
TB,1986-07-01,5.00,2.7
TB,1986-07-01,7.00,1.9
TB,1986-07-15,0.00,58.3
TB,1986-07-15,2.00,11.2
TB,1986-07-15,3.00,6.0
TB,1986-07-15,5.00,3.8
TB,1986-07-15,5.00,4.0
TB,1986-07-15,7.00,3.8
TB,1986-07-29,0.00,1.1
TB,1986-07-29,2.00,25.1
TB,1986-07-29,3.00,3.9
TB,1986-07-29,5.00,2.5
TB,1986-07-29,7.00,1.3
TB,1986-07-29,7.00,2.3
TB,1986-08-13,0.00,2.8
TB,1986-08-13,2.00,15.9
TB,1986-08-13,3.00,6.8
TB,1986-08-13,5.00,3.4
TB,1986-08-13,5.00,3.7
TB,1986-08-13,7.00,1.1
TB,1986-08-26,0.00,9.2
TB,1986-08-26,2.00,18.5
TB,1986-08-26,3.00,12.1
TB,1986-08-26,5.00,2.0
TB,1986-08-26,7.00,0.8
TB,1986-08-26,7.00,1.8
TB,1986-09-08,0.00,11.1
TB,1986-09-08,2.00,6.8
TB,1986-09-08,3.00,20.6
TB,1986-09-08,5.00,3.8
TB,1986-09-08,7.00,2.0
TB,1986-09-25,0.00,33.3
TB,1986-09-25,2.00,1.4
TB,1986-09-25,3.00,19.0
TB,1986-09-25,5.00,1.3
TB,1986-09-25,7.00,2.2
TB,1986-09-25,7.00,2.5
TB,1986-10-06,0.00,9.9
TB,1986-10-06,0.00,10.9
TB,1986-10-06,2.00,7.1
TB,1986-10-06,3.00,11.5
TB,1986-10-06,5.00,1.7
TB,1986-10-06,7.00,2.4
TB,1986-10-23,0.00,5.2
TB,1986-10-23,2.00,1.9
TB,1986-10-23,3.00,2.0
TB,1986-10-23,5.00,3.3
TB,1986-10-23,7.00,1.9
TB,1986-10-23,7.00,2.1
TB,1986-11-04,0.00,1.8
TB,1986-11-04,2.00,1.4
TB,1986-11-04,2.00,1.5
TB,1986-11-04,3.00,1.6
TB,1986-11-04,5.00,1.4
TB,1986-11-04,7.00,1.5
TB,1987-01-15,0.00,2.0
TB,1987-01-15,2.00,0.3
TB,1987-01-15,3.00,0.9
TB,1987-01-15,5.00,0.6
TB,1987-01-15,7.00,0.6
TB,1987-01-15,7.00,0.5
TB,1987-02-23,0.00,2.6
TB,1987-02-23,2.00,0.3
TB,1987-02-23,3.00,0.5
TB,1987-02-23,5.00,0.3
TB,1987-02-23,5.00,0.3
TB,1987-02-23,7.00,0.4
TB,1987-03-20,0.00,1.6
TB,1987-03-20,2.00,1.3
TB,1987-03-20,3.00,0.1
TB,1987-03-20,3.00,0.5
TB,1987-03-20,5.00,0.3
TB,1987-03-20,6.00,0.1
TB,1987-03-20,7.00,0.2
TB,1987-04-13,0.00,11.7
TB,1987-04-13,2.00,0.6
TB,1987-04-13,3.00,0.5
TB,1987-04-13,3.00,0.4
TB,1987-04-13,5.00,0.4
TB,1987-04-13,7.00,0.6
TB,1987-04-30,0.00,5.1
TB,1987-04-30,2.00,3.9
TB,1987-04-30,2.00,5.9
TB,1987-04-30,3.00,0.2
TB,1987-04-30,5.00,1.8
TB,1987-04-30,7.00,1.4
TB,1987-05-18,0.00,4.5
TB,1987-05-18,2.00,58.9
TB,1987-05-18,2.00,54.2
TB,1987-05-18,3.00,3.4
TB,1987-05-18,5.00,1.5
TB,1987-05-18,7.00,1.8
TB,1987-06-03,0.00,0.8
TB,1987-06-03,2.00,135.5
TB,1987-06-03,2.00,139.5
TB,1987-06-03,3.00,31.9
TB,1987-06-03,5.00,3.6
TB,1987-06-03,7.00,2.0
TB,1987-06-22,0.00,1.1
TB,1987-06-22,2.00,93.5
TB,1987-06-22,3.00,9.3
TB,1987-06-22,3.00,6.8
TB,1987-06-22,5.00,3.0
TB,1987-06-22,7.00,2.3
TB,1987-07-01,0.00,16.3
TB,1987-07-01,2.00,206.3
TB,1987-07-01,2.00,187.2
TB,1987-07-01,3.00,18.6
TB,1987-07-01,5.00,4.5
TB,1987-07-01,7.00,3.1
TB,1987-07-16,0.00,1.0
TB,1987-07-16,2.00,174.0
TB,1987-07-16,3.00,4.7
TB,1987-07-16,5.00,2.1
TB,1987-07-16,5.00,2.7
TB,1987-07-16,7.00,3.2
TB,1987-07-28,0.00,27.3
TB,1987-07-28,2.00,89.1
TB,1987-07-28,2.00,85.1
TB,1987-07-28,3.00,12.9
TB,1987-07-28,5.00,3.5
TB,1987-07-28,7.00,1.8
TB,1987-08-12,0.00,18.8
TB,1987-08-12,2.00,130.5
TB,1987-08-12,3.00,34.4
TB,1987-08-12,5.00,3.9
TB,1987-08-12,5.00,3.0
TB,1987-08-12,7.00,1.3
TB,1987-08-24,0.00,9.0
TB,1987-08-24,2.00,71.1
TB,1987-08-24,3.00,11.6
TB,1987-08-24,3.00,12.5
TB,1987-08-24,5.00,5.1
TB,1987-08-24,7.00,2.5
TB,1987-09-10,0.00,25.6
TB,1987-09-10,2.00,25.6
TB,1987-09-10,2.00,75.9
TB,1987-09-10,3.00,27.8
TB,1987-09-10,5.00,19.9
TB,1987-09-10,6.00,5.2
TB,1987-09-24,0.00,10.3
TB,1987-09-24,2.00,3.4
TB,1987-09-24,3.00,17.8
TB,1987-09-24,5.00,7.8
TB,1987-09-24,7.00,4.8
TB,1987-09-24,7.00,4.0
TB,1987-10-06,0.00,9.8
TB,1987-10-06,2.00,8.3
TB,1987-10-06,3.00,7.4
TB,1987-10-06,5.00,7.0
TB,1987-10-06,5.00,7.1
TB,1987-10-06,7.00,4.5
TB,1987-10-19,0.00,5.7
TB,1987-10-19,0.00,5.4
TB,1987-10-19,2.00,3.2
TB,1987-10-19,3.00,3.0
TB,1987-10-19,5.00,4.8
TB,1987-10-19,7.00,4.2
TB,1987-11-02,0.00,12.4
TB,1987-11-02,2.00,2.3
TB,1987-11-02,3.00,2.1
TB,1987-11-02,3.00,2.2
TB,1987-11-02,5.00,1.1
TB,1987-11-02,7.00,2.9
TB,1987-11-19,0.00,3.7
TB,1987-11-19,2.00,4.1
TB,1987-11-19,2.00,4.4
TB,1987-11-19,3.00,4.1
TB,1987-11-19,6.00,1.7
TB,1987-11-19,7.00,2.3
TB,1988-01-14,0.00,3.1
TB,1988-01-14,2.00,0.2
TB,1988-01-14,3.00,0.1
TB,1988-01-14,5.00,2.4
TB,1988-01-14,7.00,2.2
TB,1988-01-14,7.00,2.0
TB,1988-03-01,0.00,3.3
TB,1988-03-01,3.00,0.1
TB,1988-03-01,3.00,0.1
TB,1988-03-01,5.00,1.6
TB,1988-03-01,7.00,2.8
TB,1988-03-23,0.00,192.3
TB,1988-03-23,2.00,0.3
TB,1988-03-23,3.00,0.4
TB,1988-03-23,5.00,1.7
TB,1988-03-23,6.00,1.5
TB,1988-03-23,6.00,0.6
TB,1988-04-21,0.00,60.1
TB,1988-04-21,0.00,59.9
TB,1988-04-21,2.00,18.1
TB,1988-04-21,3.00,8.1
TB,1988-04-21,5.00,4.2
TB,1988-04-21,6.00,3.2
TB,1988-05-10,0.00,5.4
TB,1988-05-10,0.00,5.0
TB,1988-05-10,2.00,14.5
TB,1988-05-10,4.00,4.6
TB,1988-05-10,6.00,4.3
TB,1988-05-24,0.00,3.5
TB,1988-05-24,2.00,13.5
TB,1988-05-24,2.00,15.9
TB,1988-05-24,3.00,4.8
TB,1988-05-24,5.00,4.9
TB,1988-05-24,6.00,5.6
TB,1988-06-06,0.00,6.0
TB,1988-06-06,2.00,27.8
TB,1988-06-06,3.00,7.6
TB,1988-06-06,3.00,7.7
TB,1988-06-06,5.00,13.5
TB,1988-06-06,6.00,3.9
TB,1988-06-20,0.00,2.2
TB,1988-06-20,2.00,51.3
TB,1988-06-20,2.00,46.0
TB,1988-06-20,3.00,28.3
TB,1988-06-20,5.00,11.4
TB,1988-06-20,7.00,12.8
TB,1988-07-04,0.00,2.7
TB,1988-07-04,2.00,74.1
TB,1988-07-04,2.00,98.0
TB,1988-07-04,3.00,3.4
TB,1988-07-04,5.00,10.2
TB,1988-07-04,6.00,5.2
TB,1988-07-20,0.00,1.4
TB,1988-07-20,2.00,136.0
TB,1988-07-20,2.00,117.3
TB,1988-07-20,3.00,7.1
TB,1988-07-20,5.00,5.5
TB,1988-07-20,6.00,3.9
TB,1988-08-03,0.00,1.6
TB,1988-08-03,2.00,199.1
TB,1988-08-03,3.00,11.6
TB,1988-08-03,5.00,9.9
TB,1988-08-03,6.00,5.7
TB,1988-08-03,6.00,5.4
TB,1988-08-16,0.00,1.2
TB,1988-08-16,2.00,23.1
TB,1988-08-16,2.00,21.8
TB,1988-08-16,3.00,36.9
TB,1988-08-16,5.00,24.6
TB,1988-08-16,6.00,12.4
TB,1988-08-31,0.00,1.4
TB,1988-08-31,2.00,6.8
TB,1988-08-31,3.00,33.7
TB,1988-08-31,3.00,35.7
TB,1988-08-31,5.00,6.1
TB,1988-08-31,6.00,35.7
TB,1988-09-15,0.00,6.6
TB,1988-09-15,2.00,7.8
TB,1988-09-15,2.00,8.5
TB,1988-09-15,3.00,47.0
TB,1988-09-15,5.00,7.4
TB,1988-09-15,6.00,11.9
TB,1988-09-28,0.00,12.9
TB,1988-09-28,2.00,15.5
TB,1988-09-28,3.00,53.1
TB,1988-09-28,5.00,5.5
TB,1988-09-28,6.00,8.7
TB,1988-09-28,6.00,7.1
TB,1988-10-11,0.00,7.2
TB,1988-10-11,2.00,5.3
TB,1988-10-11,3.00,5.5
TB,1988-10-11,3.00,5.3
TB,1988-10-11,5.00,5.9
TB,1988-10-11,6.00,6.0
TB,1988-10-25,0.00,8.3
TB,1988-10-25,2.00,8.9
TB,1988-10-25,3.00,6.9
TB,1988-10-25,5.00,6.8
TB,1988-10-25,6.00,5.4
TB,1988-10-25,6.00,6.1
TB,1988-11-03,0.00,15.6
TB,1988-11-03,2.00,14.4
TB,1988-11-03,3.00,12.0
TB,1988-11-03,5.00,10.4
TB,1988-11-03,6.00,9.6
TB,1988-11-03,6.00,10.1
TB,1989-01-17,0.00,2.6
TB,1989-01-17,0.00,2.6
TB,1989-01-17,3.00,2.0
TB,1989-01-17,5.00,52.6
TB,1989-01-17,6.00,7.5
TB,1989-03-06,0.00,0.4
TB,1989-03-06,2.00,0.4
TB,1989-03-06,3.00,0.9
TB,1989-03-06,3.00,0.9
TB,1989-03-06,5.00,1.7
TB,1989-03-06,6.00,1.9
TB,1989-03-27,0.00,3.6
TB,1989-03-27,2.00,2.5
TB,1989-03-27,3.00,2.6
TB,1989-03-27,5.00,0.9
