lakeid,year4,sampledate,depth,deck,light,frlight
SP,1984,1984-01-06,4.00,,,
SP,1984,1984-01-06,6.00,,,
SP,1984,1984-01-06,8.00,,,
SP,1984,1984-01-06,9.00,,,
SP,1984,1984-01-06,11.00,,,
SP,1984,1984-01-06,13.00,,,
SP,1984,1984-01-06,15.00,,,
SP,1984,1984-01-06,17.00,,,
SP,1984,1984-02-27,0.00,,,
SP,1984,1984-02-27,1.00,,,
SP,1984,1984-02-27,3.00,,,
SP,1984,1984-02-27,5.00,,,
SP,1984,1984-02-27,7.00,,,
SP,1984,1984-02-27,9.00,,,
SP,1984,1984-02-27,11.00,,,
SP,1984,1984-02-27,13.00,,,
SP,1984,1984-02-27,15.00,,,
SP,1984,1984-02-27,17.00,,,
SP,1984,1984-04-10,0.00,,,
SP,1984,1984-04-10,2.00,,,
SP,1984,1984-04-10,4.00,,,
SP,1984,1984-04-10,6.00,,,
SP,1984,1984-04-10,8.00,,,
SP,1984,1984-04-10,10.00,,,
SP,1984,1984-04-10,12.00,,,
SP,1984,1984-04-10,13.00,,,
SP,1984,1984-04-10,15.00,,,
SP,1984,1984-04-10,17.00,,,
SP,1984,1984-04-10,18.00,,,
SP,1984,1984-04-26,1.00,,,
SP,1984,1984-04-26,3.00,,,
SP,1984,1984-04-26,5.00,,,
SP,1984,1984-04-26,7.00,,,
SP,1984,1984-04-26,9.00,,,
SP,1984,1984-04-26,11.00,,,
SP,1984,1984-04-26,12.00,,,
SP,1984,1984-04-26,14.00,,,
SP,1984,1984-04-26,16.00,,,
SP,1984,1984-04-26,18.00,,,
SP,1984,1984-05-09,1.00,,,
SP,1984,1984-05-09,3.00,,,
SP,1984,1984-05-09,4.00,,,
SP,1984,1984-05-09,6.00,,,
SP,1984,1984-05-09,8.00,,,
SP,1984,1984-05-09,10.00,,,
SP,1984,1984-05-09,12.00,,,
SP,1984,1984-05-09,14.00,,,
SP,1984,1984-05-09,16.00,,,
SP,1984,1984-05-09,18.00,,,
SP,1984,1984-05-21,0.00,740,700.00,0.946000
SP,1984,1984-05-21,1.00,830,500.00,0.602000
SP,1984,1984-05-21,3.00,1000,190.00,0.190000
SP,1984,1984-05-21,5.00,1100,98.00,0.089000
SP,1984,1984-05-21,7.00,1050,37.00,0.035000
SP,1984,1984-05-21,8.00,,,
SP,1984,1984-05-21,10.00,1050,11.00,0.010000
SP,1984,1984-05-21,12.00,960,5.50,0.006000
SP,1984,1984-05-21,14.00,830,1.85,0.002000
SP,1984,1984-05-21,16.00,960,0.85,0.001000
SP,1984,1984-05-21,18.00,940,0.50,0.001000
SP,1984,1984-06-04,1.00,1500,800.00,0.533000
SP,1984,1984-06-04,3.00,1500,350.00,0.233000
SP,1984,1984-06-04,5.00,1510,157.00,0.104000
SP,1984,1984-06-04,7.00,1520,71.00,0.047000
SP,1984,1984-06-04,8.00,1510,47.80,0.032000
SP,1984,1984-06-04,10.00,1520,23.30,0.015000
SP,1984,1984-06-04,11.00,1590,15.70,0.010000
SP,1984,1984-06-04,13.00,1530,6.70,0.004000
SP,1984,1984-06-04,15.00,1570,2.93,0.002000
SP,1984,1984-06-04,17.00,1620,1.18,0.001000
SP,1984,1984-06-20,0.00,622,489.00,0.786000
SP,1984,1984-06-20,1.00,647,249.00,0.385000
SP,1984,1984-06-20,3.00,652,157.00,0.241000
SP,1984,1984-06-20,5.00,606,75.80,0.125000
SP,1984,1984-06-20,7.00,588,40.10,0.068000
SP,1984,1984-06-20,8.00,,,
SP,1984,1984-06-20,10.00,565,14.60,0.026000
SP,1984,1984-06-20,12.00,539,6.57,0.012000
SP,1984,1984-06-20,14.00,520,2.69,0.005000
SP,1984,1984-06-20,16.00,520,1.06,0.002000
SP,1984,1984-06-20,18.00,538,0.35,0.001000
SP,1984,1984-07-05,1.00,686,239.00,0.348000
SP,1984,1984-07-05,3.00,920,190.00,0.207000
SP,1984,1984-07-05,5.00,942,148.00,0.157000
SP,1984,1984-07-05,7.00,842,80.00,0.095000
SP,1984,1984-07-05,8.00,,,
SP,1984,1984-07-05,10.00,1760,70.10,0.040000
SP,1984,1984-07-05,12.00,1780,38.20,0.021000
SP,1984,1984-07-05,14.00,1820,19.40,0.011000
SP,1984,1984-07-05,16.00,1560,9.61,0.006000
SP,1984,1984-07-05,18.00,689,1.55,0.002000
SP,1984,1984-07-16,0.00,,,
SP,1984,1984-07-16,2.00,693,202.00,0.291000
SP,1984,1984-07-16,4.00,670,148.00,0.221000
SP,1984,1984-07-16,6.00,670,93.90,0.140000
SP,1984,1984-07-16,8.00,635,52.80,0.083000
SP,1984,1984-07-16,10.00,630,29.50,0.047000
SP,1984,1984-07-16,12.00,607,15.90,0.026000
SP,1984,1984-07-16,14.00,619,8.90,0.014000
SP,1984,1984-07-16,16.00,562,4.64,0.008000
SP,1984,1984-07-16,18.00,501,1.69,0.003000
SP,1984,1984-07-31,0.00,1700,1260.00,0.741000
SP,1984,1984-07-31,2.00,1790,560.00,0.313000
SP,1984,1984-07-31,4.00,980,201.00,0.205000
SP,1984,1984-07-31,6.00,1690,204.00,0.121000
SP,1984,1984-07-31,8.00,1900,121.00,0.064000
SP,1984,1984-07-31,10.00,1800,54.70,0.030000
SP,1984,1984-07-31,11.00,,,
SP,1984,1984-07-31,12.00,,,
SP,1984,1984-07-31,14.00,822,8.81,0.011000
SP,1984,1984-07-31,16.00,830,5.08,0.006000
SP,1984,1984-07-31,18.00,1560,5.32,0.003000
